+ mkdir -p wily/powerpc/rootfs
I: Retrieving libsemanage1 2.3-1build2
I: Validating libsemanage1 2.3-1build2
I: Retrieving libsepol1 2.3-2
I: Validating libsepol1 2.3-2
I: Retrieving libslang2 2.3.0-2ubuntu1
I: Validating libslang2 2.3.0-2ubuntu1
I: Retrieving libsmartcols1 2.26.2-6ubuntu3
I: Validating libsmartcols1 2.26.2-6ubuntu3
I: Retrieving libss2 1.42.12-1ubuntu2
I: Validating libss2 1.42.12-1ubuntu2
I: Retrieving libstdc++6 5.2.1-22ubuntu2
I: Validating libstdc++6 5.2.1-22ubuntu2
I: Retrieving libsystemd0 225-1ubuntu9
I: Validating libsystemd0 225-1ubuntu9
I: Retrieving libtinfo5 5.9+20150516-2ubuntu1
I: Validating libtinfo5 5.9+20150516-2ubuntu1
I: Retrieving libudev1 225-1ubuntu9
I: Validating libudev1 225-1ubuntu9
I: Retrieving libusb-0.1-4 2:0.1.12-27
I: Validating libusb-0.1-4 2:0.1.12-27
I: Retrieving libustr-1.0-1 1.0.4-5
I: Validating libustr-1.0-1 1.0.4-5
I: Retrieving libuuid1 2.26.2-6ubuntu3
I: Validating libuuid1 2.26.2-6ubuntu3
I: Retrieving locales 2.13+git20120306-21
I: Validating locales 2.13+git20120306-21
I: Retrieving login 1:4.1.5.1-1.1ubuntu7
I: Validating login 1:4.1.5.1-1.1ubuntu7
I: Retrieving lsb-base 4.1+Debian11ubuntu8
I: Validating lsb-base 4.1+Debian11ubuntu8
I: Retrieving makedev 2.3.1-93ubuntu1
I: Validating makedev 2.3.1-93ubuntu1
I: Retrieving mawk 1.3.3-17ubuntu2
I: Validating mawk 1.3.3-17ubuntu2
I: Retrieving mount 2.26.2-6ubuntu3
I: Validating mount 2.26.2-6ubuntu3
I: Retrieving multiarch-support 2.21-0ubuntu4
I: Validating multiarch-support 2.21-0ubuntu4
I: Retrieving ncurses-base 5.9+20150516-2ubuntu1
I: Validating ncurses-base 5.9+20150516-2ubuntu1
I: Retrieving ncurses-bin 5.9+20150516-2ubuntu1
I: Validating ncurses-bin 5.9+20150516-2ubuntu1
I: Retrieving netbase 5.3
I: Validating netbase 5.3
I: Retrieving passwd 1:4.1.5.1-1.1ubuntu7
I: Validating passwd 1:4.1.5.1-1.1ubuntu7
I: Retrieving perl-base 5.20.2-6
I: Validating perl-base 5.20.2-6
I: Retrieving procps 1:3.3.9-1ubuntu8
I: Validating procps 1:3.3.9-1ubuntu8
I: Retrieving readline-common 6.3-8ubuntu1
I: Validating readline-common 6.3-8ubuntu1
I: Retrieving sed 4.2.2-6.1
I: Validating sed 4.2.2-6.1
I: Retrieving sensible-utils 0.0.9
I: Validating sensible-utils 0.0.9
I: Retrieving systemd 225-1ubuntu9
I: Validating systemd 225-1ubuntu9
I: Retrieving systemd-sysv 225-1ubuntu9
I: Validating systemd-sysv 225-1ubuntu9
I: Retrieving sysv-rc 2.88dsf-59.2ubuntu2
I: Validating sysv-rc 2.88dsf-59.2ubuntu2
I: Retrieving sysvinit-utils 2.88dsf-59.2ubuntu2
I: Validating sysvinit-utils 2.88dsf-59.2ubuntu2
I: Retrieving tar 1.27.1-2
I: Validating tar 1.27.1-2
I: Retrieving tzdata 2015g-1
I: Validating tzdata 2015g-1
I: Retrieving ubuntu-keyring 2012.05.19
I: Validating ubuntu-keyring 2012.05.19
I: Retrieving udev 225-1ubuntu9
I: Validating udev 225-1ubuntu9
I: Retrieving util-linux 2.26.2-6ubuntu3
I: Validating util-linux 2.26.2-6ubuntu3
I: Retrieving zlib1g 1:1.2.8.dfsg-2ubuntu4
I: Validating zlib1g 1:1.2.8.dfsg-2ubuntu4
I: Retrieving inetutils-ping 2:1.9.4-1
I: Validating inetutils-ping 2:1.9.4-1
I: Chosen extractor for .deb packages: dpkg-deb
I: Extracting adduser...
I: Extracting base-files...
I: Extracting base-passwd...
I: Extracting bash...
I: Extracting bsdutils...
I: Extracting coreutils...
I: Extracting dash...
I: Extracting debconf...
I: Extracting debianutils...
I: Extracting diffutils...
I: Extracting dmsetup...
I: Extracting dpkg...
I: Extracting e2fslibs...
I: Extracting e2fsprogs...
I: Extracting findutils...
I: Extracting gcc-5-base...
I: Extracting grep...
I: Extracting gzip...
I: Extracting hostname...
I: Extracting init...
I: Extracting initscripts...
I: Extracting insserv...
I: Extracting libacl1...
I: Extracting libapparmor1...
I: Extracting libattr1...
I: Extracting libaudit-common...
I: Extracting libaudit1...
I: Extracting libblkid1...
I: Extracting libbz2-1.0...
I: Extracting libc-bin...
I: Extracting libc6...
I: Extracting libcap2...
I: Extracting libcap2-bin...
I: Extracting libcomerr2...
I: Extracting libcryptsetup4...
I: Extracting libdb5.3...
I: Extracting libdebconfclient0...
I: Extracting libdevmapper1.02.1...
I: Extracting libfdisk1...
I: Extracting libgcc1...
I: Extracting libgcrypt20...
I: Extracting libgpg-error0...
I: Extracting libkmod2...
I: Extracting liblzma5...
I: Extracting libmount1...
I: Extracting libncurses5...
I: Extracting libncursesw5...
I: Extracting libpam-modules...
I: Extracting libpam-modules-bin...
I: Extracting libpam-runtime...
I: Extracting libpam0g...
I: Extracting libpcre3...
I: Extracting libprocps3...
I: Extracting libseccomp2...
I: Extracting libselinux1...
I: Extracting libsemanage-common...
I: Extracting libsemanage1...
I: Extracting libsepol1...
I: Extracting libslang2...
I: Extracting libsmartcols1...
I: Extracting libss2...
I: Extracting libsystemd0...
I: Extracting libtinfo5...
I: Extracting libudev1...
I: Extracting libustr-1.0-1...
I: Extracting libuuid1...
I: Extracting locales...
I: Extracting login...
I: Extracting lsb-base...
I: Extracting makedev...
I: Extracting mawk...
I: Extracting mount...
I: Extracting multiarch-support...
I: Extracting ncurses-base...
I: Extracting ncurses-bin...
I: Extracting passwd...
I: Extracting perl-base...
I: Extracting procps...
I: Extracting sed...
I: Extracting sensible-utils...
I: Extracting systemd...
I: Extracting systemd-sysv...
I: Extracting sysv-rc...
I: Extracting sysvinit-utils...
I: Extracting tar...
I: Extracting tzdata...
I: Extracting udev...
I: Extracting util-linux...
I: Extracting zlib1g...
I: Running command: chroot wily/powerpc/rootfs /debootstrap/debootstrap --second-stage
I: Keyring file not available at /usr/share/keyrings/ubuntu-archive-keyring.gpg; switching to https mirror https://mirrors.kernel.org/debian
I: Installing core packages...
I: Unpacking required packages...
I: Unpacking adduser...
I: Unpacking base-files...
I: Unpacking base-passwd...
I: Unpacking bash...
I: Unpacking bsdutils...
I: Unpacking coreutils...
I: Unpacking dash...
I: Unpacking debconf...
I: Unpacking debianutils...
I: Unpacking diffutils...
I: Unpacking dmsetup...
I: Unpacking dpkg...
I: Unpacking e2fslibs:powerpc...
I: Unpacking e2fsprogs...
I: Unpacking findutils...
I: Unpacking gcc-5-base:powerpc...
I: Unpacking grep...
I: Unpacking gzip...
I: Unpacking hostname...
I: Unpacking init...
I: Unpacking initscripts...
I: Unpacking insserv...
I: Unpacking libacl1:powerpc...
I: Unpacking libapparmor1:powerpc...
I: Unpacking libattr1:powerpc...
I: Unpacking libaudit-common...
I: Unpacking libaudit1:powerpc...
I: Unpacking libblkid1:powerpc...
I: Unpacking libbz2-1.0:powerpc...
I: Unpacking libc-bin...
I: Unpacking libc6:powerpc...
I: Unpacking libcap2:powerpc...
I: Unpacking libcap2-bin...
I: Unpacking libcomerr2:powerpc...
I: Unpacking libcryptsetup4:powerpc...
I: Unpacking libdb5.3:powerpc...
I: Unpacking libdebconfclient0:powerpc...
I: Unpacking libdevmapper1.02.1:powerpc...
I: Unpacking libfdisk1:powerpc...
I: Unpacking libgcc1:powerpc...
I: Unpacking libgcrypt20:powerpc...
I: Unpacking libgpg-error0:powerpc...
I: Unpacking libkmod2:powerpc...
I: Unpacking liblzma5:powerpc...
I: Unpacking libmount1:powerpc...
I: Unpacking libncurses5:powerpc...
I: Unpacking libncursesw5:powerpc...
I: Unpacking libpam-modules:powerpc...
I: Unpacking libpam-modules-bin...
I: Unpacking libpam-runtime...
I: Unpacking libpam0g:powerpc...
I: Unpacking libpcre3:powerpc...
I: Unpacking libprocps3:powerpc...
I: Unpacking libseccomp2:powerpc...
I: Unpacking libselinux1:powerpc...
I: Unpacking libsemanage-common...
I: Unpacking libsemanage1:powerpc...
I: Unpacking libsepol1:powerpc...
I: Unpacking libslang2:powerpc...
I: Unpacking libsmartcols1:powerpc...
I: Unpacking libss2:powerpc...
I: Unpacking libsystemd0:powerpc...
I: Unpacking libtinfo5:powerpc...
I: Unpacking libudev1:powerpc...
I: Unpacking libustr-1.0-1:powerpc...
I: Unpacking libuuid1:powerpc...
I: Unpacking locales...
I: Unpacking login...
I: Unpacking lsb-base...
I: Unpacking makedev...
I: Unpacking mawk...
I: Unpacking mount...
I: Unpacking multiarch-support...
I: Unpacking ncurses-base...
I: Unpacking ncurses-bin...
I: Unpacking passwd...
I: Unpacking perl-base...
I: Unpacking procps...
I: Unpacking sed...
I: Unpacking sensible-utils...
I: Unpacking systemd...
I: Unpacking systemd-sysv...
I: Unpacking sysv-rc...
I: Unpacking sysvinit-utils...
I: Unpacking tar...
I: Unpacking tzdata...
I: Unpacking udev...
I: Unpacking util-linux...
I: Unpacking zlib1g:powerpc...
I: Configuring required packages...
I: Configuring lsb-base...
I: Configuring sensible-utils...
I: Configuring ncurses-base...
I: Configuring libsemanage-common...
I: Configuring libaudit-common...
I: Configuring gcc-5-base:powerpc...
I: Configuring libc6:powerpc...
I: Configuring libbz2-1.0:powerpc...
I: Configuring libkmod2:powerpc...
I: Configuring libgpg-error0:powerpc...
I: Configuring libseccomp2:powerpc...
I: Configuring libapparmor1:powerpc...
I: Configuring sysvinit-utils...
I: Configuring diffutils...
I: Configuring insserv...
I: Configuring findutils...
I: Configuring locales...
I: Configuring libgcc1:powerpc...
I: Configuring libustr-1.0-1:powerpc...
I: Configuring libsmartcols1:powerpc...
I: Configuring libaudit1:powerpc...
I: Configuring libtinfo5:powerpc...
I: Configuring libudev1:powerpc...
I: Configuring debianutils...
I: Configuring libgcrypt20:powerpc...
I: Configuring libncursesw5:powerpc...
I: Configuring libdb5.3:powerpc...
I: Configuring zlib1g:powerpc...
I: Configuring hostname...
I: Configuring multiarch-support...
I: Configuring mawk...
I: Configuring libcap2:powerpc...
I: Configuring libprocps3:powerpc...
I: Configuring libpcre3:powerpc...
I: Configuring base-files...
I: Configuring libc-bin...
I: Configuring libdebconfclient0:powerpc...
I: Configuring libselinux1:powerpc...
I: Configuring libcomerr2:powerpc...
I: Configuring ncurses-bin...
I: Configuring libslang2:powerpc...
I: Configuring libsepol1:powerpc...
I: Configuring libncurses5:powerpc...
I: Configuring libattr1:powerpc...
I: Configuring libss2:powerpc...
I: Configuring liblzma5:powerpc...
I: Configuring base-passwd...
I: Configuring e2fslibs:powerpc...
I: Configuring libcap2-bin...
I: Configuring libsystemd0:powerpc...
I: Configuring libdevmapper1.02.1:powerpc...
I: Configuring libsemanage1:powerpc...
I: Configuring libacl1:powerpc...
I: Configuring makedev...
I: Configuring bsdutils...
I: Configuring coreutils...
I: Configuring tar...
I: Configuring dpkg...
I: Configuring sed...
I: Configuring perl-base...
I: Configuring grep...
I: Configuring debconf...
I: Configuring tzdata...
I: Configuring gzip...
I: Configuring dash...
I: Configuring sysv-rc...
I: Configuring libpam0g:powerpc...
I: Configuring libpam-modules-bin...
I: Configuring bash...
I: Configuring libpam-modules:powerpc...
I: Configuring libpam-runtime...
I: Configuring passwd...
I: Configuring login...
I: Configuring adduser...
I: Configuring libuuid1:powerpc...
I: Configuring libblkid1:powerpc...
I: Configuring libmount1:powerpc...
I: Configuring libcryptsetup4:powerpc...
I: Configuring mount...
I: Configuring libfdisk1:powerpc...
I: Configuring initscripts...
I: Configuring util-linux...
I: Configuring e2fsprogs...
I: Configuring procps...
I: Configuring udev...
I: Configuring systemd...
I: Configuring dmsetup...
I: Configuring systemd-sysv...
I: Configuring init...
I: Configuring libc-bin...
I: Unpacking the base system...
I: Unpacking apt...
I: Unpacking gnupg...
I: Unpacking gpgv...
I: Unpacking iproute2...
I: Unpacking libapt-pkg4.16:powerpc...
I: Unpacking libreadline6:powerpc...
I: Unpacking libstdc++6:powerpc...
I: Unpacking libusb-0.1-4:powerpc...
I: Unpacking netbase...
I: Unpacking readline-common...
I: Unpacking ubuntu-keyring...
I: Unpacking inetutils-ping...
I: Configuring the base system...
I: Configuring readline-common...
I: Configuring gpgv...
I: Configuring iproute2...
I: Configuring libstdc++6:powerpc...
I: Configuring libusb-0.1-4:powerpc...
I: Configuring ubuntu-keyring...
I: Configuring libreadline6:powerpc...
I: Configuring netbase...
I: Configuring inetutils-ping...
I: Configuring gnupg...
I: Configuring libapt-pkg4.16:powerpc...
I: Configuring apt...
I: Configuring libc-bin...
I: Base system installed successfully.
+ echo exit 101 > 'wily/powerpc/rootfs/usr/sbin/policy-rc.d'
+ rootfs_chroot dpkg-divert --local --rename --add /sbin/initctl
+ PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
+ /usr/sbin/chroot wily/powerpc/rootfs dpkg-divert --local --rename --add /sbin/initctl
Adding 'local diversion of /sbin/initctl to /sbin/initctl.distrib'
+ cp -a wily/powerpc/rootfs/usr/sbin/policy-rc.d wily/powerpc/rootfs/sbin/initctl
+ sed -i 's/^exit.*/exit 0/' wily/powerpc/rootfs/sbin/initctl
+ rootfs_chroot apt-get clean
+ PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
+ /usr/sbin/chroot wily/powerpc/rootfs apt-get clean
+ echo force-unsafe-io > 'wily/powerpc/rootfs/etc/dpkg/dpkg.cfg.d/docker-apt-speedup'
+ cat > 'wily/powerpc/rootfs/etc/apt/apt.conf.d/docker-clean'
+ echo Acquire::Languages 'none' > 'wily/powerpc/rootfs/etc/apt/apt.conf.d/docker-no-languages'
+ echo Acquire::GzipIndexes 'true' > 'wily/powerpc/rootfs/etc/apt/apt.conf.d/docker-gzip-indexes'
+ echo Apt::AutoRemove::SuggestsImportant 'false' > 'wily/powerpc/rootfs/etc/apt/apt.conf.d/docker-autoremove-suggests'
+ sed -i '
					p;
					s/ wily / wily-updates /; p;
					s/ wily-updates / wily-security /
				' wily/powerpc/rootfs/etc/apt/sources.list
+ rootfs_chroot sh -xc 'apt-get update && apt-get dist-upgrade -y'
+ PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
+ /usr/sbin/chroot wily/powerpc/rootfs sh -xc 'apt-get update && apt-get dist-upgrade -y'
+ apt-get update
Get:1 http://ports.ubuntu.com wily InRelease [218 kB]
Get:2 http://ports.ubuntu.com wily-updates InRelease [64.4 kB]
Get:3 http://ports.ubuntu.com wily-security InRelease [64.4 kB]
Get:4 http://ports.ubuntu.com wily/main powerpc Packages [1785 kB]
Get:5 http://ports.ubuntu.com wily-updates/main powerpc Packages [151 kB]
Get:6 http://ports.ubuntu.com wily-security/main powerpc Packages [107 kB]
Fetched 2390 kB in 7s (306 kB/s)
Reading package lists...
+ apt-get dist-upgrade -y
Reading package lists...
Building dependency tree...
The following packages will be upgraded:
  dpkg initscripts perl-base sysv-rc sysvinit-utils
5 upgraded, 0 newly installed, 0 to remove and 0 not upgraded.
Need to get 3245 kB of archives.
After this operation, 1574 kB of additional disk space will be used.
Get:1 http://ports.ubuntu.com/ubuntu-ports/ wily-updates/main dpkg powerpc 1.18.2ubuntu5.1 [2055 kB]
Get:2 http://ports.ubuntu.com/ubuntu-ports/ wily-updates/main perl-base powerpc 5.20.2-6ubuntu0.1 [1104 kB]
Get:3 http://ports.ubuntu.com/ubuntu-ports/ wily-updates/main sysvinit-utils powerpc 2.88dsf-59.2ubuntu2.1 [25.5 kB]
Get:4 http://ports.ubuntu.com/ubuntu-ports/ wily-updates/main sysv-rc all 2.88dsf-59.2ubuntu2.1 [36.1 kB]
Get:5 http://ports.ubuntu.com/ubuntu-ports/ wily-updates/main initscripts powerpc 2.88dsf-59.2ubuntu2.1 [24.8 kB]
perl: warning: Setting locale failed.
perl: warning: Please check that your locale settings:
	LANGUAGE = (unset),
	LC_ALL = "zh_TW.UTF-8",
	LC_CTYPE = "C",
	LANG = (unset)
    are supported and installed on your system.
perl: warning: Falling back to the standard locale ("C").
debconf: delaying package configuration, since apt-utils is not installed
Fetched 3245 kB in 15s (203 kB/s)
E: Can not write log (Is /dev/pts mounted?) - posix_openpt (2: No such file or directory)
(Reading database ... 7398 files and directories currently installed.)
Preparing to unpack .../dpkg_1.18.2ubuntu5.1_powerpc.deb ...
Unpacking dpkg (1.18.2ubuntu5.1) over (1.18.2ubuntu5) ...
Setting up dpkg (1.18.2ubuntu5.1) ...
(Reading database ... 7398 files and directories currently installed.)
Preparing to unpack .../perl-base_5.20.2-6ubuntu0.1_powerpc.deb ...
Unpacking perl-base (5.20.2-6ubuntu0.1) over (5.20.2-6) ...
Setting up perl-base (5.20.2-6ubuntu0.1) ...
(Reading database ... 7398 files and directories currently installed.)
Preparing to unpack .../sysvinit-utils_2.88dsf-59.2ubuntu2.1_powerpc.deb ...
Unpacking sysvinit-utils (2.88dsf-59.2ubuntu2.1) over (2.88dsf-59.2ubuntu2) ...
Setting up sysvinit-utils (2.88dsf-59.2ubuntu2.1) ...
(Reading database ... 7398 files and directories currently installed.)
Preparing to unpack .../sysv-rc_2.88dsf-59.2ubuntu2.1_all.deb ...
Unpacking sysv-rc (2.88dsf-59.2ubuntu2.1) over (2.88dsf-59.2ubuntu2) ...
Setting up sysv-rc (2.88dsf-59.2ubuntu2.1) ...
Processing triggers for systemd (225-1ubuntu9) ...
(Reading database ... 7398 files and directories currently installed.)
Preparing to unpack .../initscripts_2.88dsf-59.2ubuntu2.1_powerpc.deb ...
Unpacking initscripts (2.88dsf-59.2ubuntu2.1) over (2.88dsf-59.2ubuntu2) ...
Processing triggers for systemd (225-1ubuntu9) ...
Setting up initscripts (2.88dsf-59.2ubuntu2.1) ...
+ rm -rf wily/powerpc/rootfs/var/lib/apt/lists/lock wily/powerpc/rootfs/var/lib/apt/lists/partial wily/powerpc/rootfs/var/lib/apt/lists/ports.ubuntu.com_ubuntu-ports_dists_wily_InRelease wily/powerpc/rootfs/var/lib/apt/lists/ports.ubuntu.com_ubuntu-ports_dists_wily_main_binary-powerpc_Packages.gz wily/powerpc/rootfs/var/lib/apt/lists/ports.ubuntu.com_ubuntu-ports_dists_wily-security_InRelease wily/powerpc/rootfs/var/lib/apt/lists/ports.ubuntu.com_ubuntu-ports_dists_wily-security_main_binary-powerpc_Packages.gz wily/powerpc/rootfs/var/lib/apt/lists/ports.ubuntu.com_ubuntu-ports_dists_wily-updates_InRelease wily/powerpc/rootfs/var/lib/apt/lists/ports.ubuntu.com_ubuntu-ports_dists_wily-updates_main_binary-powerpc_Packages.gz
+ mkdir wily/powerpc/rootfs/var/lib/apt/lists/partial
+ tar --numeric-owner --create --auto-compress --file wily/powerpc/rootfs.tar.xz --directory wily/powerpc/rootfs '--transform=s,^./,,' .
+ cat > 'wily/powerpc/Dockerfile'
+ echo 'CMD ["/bin/bash"]'
+ rm -rf wily/powerpc/rootfs
